;Event;Group;Group name
1;TORNADO;1;Other
7;SNOW/ICE;1;Other
8;WINTER STORM;1;Other
9;HURRICANE OPAL/HIGH WINDS;1;Other
11;RECORD COLD;1;Other
12;HURRICANE ERIN;1;Other
13;HURRICANE OPAL;1;Other
15;LIGHTNING;1;Other
17;DENSE FOG;1;Other
23;FUNNEL CLOUD;1;Other
24;TORNADO F0;1;Other
27;HEAT;1;Other
29;LIGHTING;1;Other
32;FUNNEL;1;Other
33;WALL CLOUD;1;Other
37;COLD;1;Other
39;FLASH FLOODING/THUNDERSTORM WI;1;Other
40;WALL CLOUD/FUNNEL CLOUD;1;Other
42;WATERSPOUT;1;Other
43;EXTREME COLD;1;Other
47;BLIZZARD;1;Other
48;BLIZZARD WEATHER;1;Other
54;FREEZE;1;Other
55;COASTAL FLOOD;1;Other
61;RECORD HIGH TEMPERATURE;1;Other
62;RECORD HIGH;1;Other
69;RECORD LOW;1;Other
72;LOW TEMPERATURE RECORD;1;Other
73;AVALANCHE;1;Other
74;MARINE MISHAP;1;Other
79;HIGH TEMPERATURE RECORD;1;Other
81;RECORD HIGH TEMPERATURES;1;Other
85;SEVERE TURBULENCE;1;Other
86;RECORD RAINFALL;1;Other
87;RECORD SNOWFALL;1;Other
88;RECORD WARMTH;1;Other
90;EXTREME HEAT;1;Other
92;DUST STORM;1;Other
93;APACHE COUNTY;1;Other
94;SLEET;1;Other
95;HAIL STORM;1;Other
96;FUNNEL CLOUDS;1;Other
97;FLASH FLOODS;1;Other
98;DUST DEVIL;1;Other
99;EXCESSIVE HEAT;1;Other
112;BLOWING DUST;1;Other
114;WILD FIRES;1;Other
117;WATER SPOUT;1;Other
121;WINTER STORMS;1;Other
122;MUDSLIDES;1;Other
123;RAINSTORM;1;Other
124;SEVERE THUNDERSTORM;1;Other
125;SEVERE THUNDERSTORMS;1;Other
126;SEVERE THUNDERSTORM WINDS;1;Other
128;DRY MICROBURST;1;Other
130;FLOOD/RAIN/WINDS;1;Other
132;DRY MICROBURST 61;1;Other
133;THUNDERSTORMS;1;Other
136;MICROBURST;1;Other
145;GUSTNADO AND;1;Other
146;FLOOD/RAIN/WIND;1;Other
147;WET MICROBURST;1;Other
151;DRY MICROBURST 53;1;Other
155;DRY MICROBURST 50;1;Other
168;DRY MICROBURST 58;1;Other
174;DRY MICROBURST 84;1;Other
178;TORNADOS;1;Other
179;GLAZE;1;Other
180;RECORD HEAT;1;Other
182;HEAT WAVE;1;Other
185;UNSEASONABLY DRY;1;Other
186;UNSEASONABLY WET;1;Other
187;WINTRY MIX;1;Other
188;WINTER WEATHER;1;Other
189;UNSEASONABLY COLD;1;Other
190;EXTREME/RECORD COLD;1;Other
192;SLEET/RAIN/SNOW;1;Other
193;UNSEASONABLY WARM;1;Other
194;DROUGHT;1;Other
195;NORMAL PRECIPITATION;1;Other
197;DRY;1;Other
198;RAIN/SNOW;1;Other
199;SNOW/RAIN/SLEET;1;Other
200;WATERSPOUT/TORNADO;1;Other
201;WATERSPOUTS;1;Other
202;WATERSPOUT TORNADO;1;Other
204;STORM SURGE;1;Other
205;WATERSPOUT-TORNADO;1;Other
206;WATERSPOUT-;1;Other
208;TROPICAL STORM ALBERTO;1;Other
209;TROPICAL STORM;1;Other
210;TROPICAL STORM GORDON;1;Other
211;TROPICAL STORM JERRY;1;Other
213;WAYTERSPOUT;1;Other
215;LIGHTNING INJURY;1;Other
221;WILDFIRE;1;Other
222;DAMAGING FREEZE;1;Other
224;SMALL HAIL;1;Other
226;HURRICANE;1;Other
227;WILD/FOREST FIRE;1;Other
229;MUD SLIDE;1;Other
230;LIGNTNING;1;Other
231;FROST;1;Other
232;FREEZING RAIN/SNOW;1;Other
234;THUNDERSNOW;1;Other
235;FLOODS;1;Other
237;COOL AND WET;1;Other
238;HEAVY RAIN/SNOW;1;Other
242;SEVERE COLD;1;Other
244;COLD WAVE;1;Other
250;MUD SLIDES;1;Other
253;COLD AND WET CONDITIONS;1;Other
254;EXCESSIVE WETNESS;1;Other
257;SLEET/ICE STORM;1;Other
260;ROTATING WALL CLOUD;1;Other
261;LARGE WALL CLOUD;1;Other
262;COLD AIR FUNNEL;1;Other
263;GUSTNADO;1;Other
264;COLD AIR FUNNELS;1;Other
267;GROUND BLIZZARD;1;Other
270;FREEZING RAIN/SLEET;1;Other
274;COLD AIR TORNADO;1;Other
276;FOG;1;Other
278;FUNNEL CLOUD/HAIL;1;Other
279;ICE/SNOW;1;Other
290;HAIL/WINDS;1;Other
293;SNOWSTORM;1;Other
294;GRASS FIRES;1;Other
296;PROLONG COLD;1;Other
297;HAIL/WIND;1;Other
303;THUNDERSTORMS WIND;1;Other
306;AGRICULTURAL FREEZE;1;Other
307;DROUGHT/EXCESSIVE HEAT;1;Other
309;TROPICAL STORM DEAN;1;Other
315;WATERSPOUT/ TORNADO;1;Other
316;LIGHTNING.;1;Other
317;WARM DRY CONDITIONS;1;Other
319;HEAVY SNOW/ICE STORM;1;Other
322;COASTAL SURGE;1;Other
328;SNOW/RAIN;1;Other
334;LIGHTNING FIRE;1;Other
340;DUST DEVIL WATERSPOUT;1;Other
349;HEAVY SNOW/ICE;1;Other
353;WATERSPOUT/;1;Other
355;TORNADO F3;1;Other
